id,submitter,authors,title,comments,journal-ref,doi,report-no,categories,license,abstract,versions,update_date,authors_parsed
1107.5306,Yuan-Sen Ting Mr,"Sugata Kaviraj, Yuan-Sen Ting, Martin Bureau, Stanislav S. Shabala, R.
  Mark Crockett, Joseph Silk, Chris Lintott, Arfon Smith, William C. Keel,
  Karen L. Masters, Kevin Schawinski and Steven P. Bamford","Galaxy Zoo: dust and molecular gas in early-type galaxies with prominent
  dust lanes","11 pages, 18 figures, 1 table, MNRAS (Accepted for publication- 2012
  March 19)","2012, MNRAS, 423, 49",10.1111/j.1365-2966.2012.20957.x,,astro-ph.CO,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  We study dust and associated molecular gas in 352 nearby early-type galaxies
(ETGs) with prominent dust lanes. 65% of these `dusty ETGs' (D-ETGs) are
morphologically disturbed, suggesting a merger origin. This is consistent with
the D-ETGs residing in lower density environments compared to the controls
drawn from the general ETG population. 80% of D-ETGs inhabit the field
(compared to 60% of the controls) and <2% inhabit clusters (compared to 10% of
the controls). Compared to the controls, D-ETGs exhibit bluer UV-optical
colours (indicating enhanced star formation) and an AGN fraction that is more
than an order of magnitude greater (indicating higher incidence of nuclear
activity). The clumpy dust mass residing in large-scale features is estimated,
using the SDSS r-band images, to be 10^{4.5}-10^{6.5} MSun. A comparison to the
total (clumpy + diffuse) dust masses- calculated using the far-IR fluxes of 15%
of the D-ETGs that are detected by the IRAS- indicates that only ~20% of the
dust resides in these large-scale features. The dust masses are several times
larger than the maximum value expected from stellar mass loss, ruling out an
internal origin. The dust content shows no correlation with the blue
luminosity, indicating that it is not related to a galactic scale cooling flow.
No correlation is found with the age of the recent starburst, suggesting that
the dust is accreted directly in the merger rather than being produced in situ
by the triggered star formation. Using molecular gas-to-dust ratios of ETGs in
the literature we estimate that the median current and initial molecular gas
fraction are ~1.3% and ~4%, respectively. Recent work suggests that the merger
activity in nearby ETGs largely involves minor mergers (mass ratios between
1:10 and 1:4). If the IRAS-detected D-ETGs form via this channel, then the
original gas fractions of the accreted satellites are 20%-44%. [Abridged]
","[{'version': 'v1', 'created': 'Tue, 26 Jul 2011 20:00:01 GMT'}, {'version': 'v2', 'created': 'Thu, 17 May 2012 08:25:19 GMT'}]",2012-06-01,"[['Kaviraj', 'Sugata', ''], ['Ting', 'Yuan-Sen', ''], ['Bureau', 'Martin', ''], ['Shabala', 'Stanislav S.', ''], ['Crockett', 'R. Mark', ''], ['Silk', 'Joseph', ''], ['Lintott', 'Chris', ''], ['Smith', 'Arfon', ''], ['Keel', 'William C.', ''], ['Masters', 'Karen L.', ''], ['Schawinski', 'Kevin', ''], ['Bamford', 'Steven P.', '']]"
1107.5310,Yuan-Sen Ting Mr,"Stanislav S. Shabala, Yuan-Sen Ting, Sugata Kaviraj, Chris Lintott, R.
  Mark Crockett, Joseph Silk, Marc Sarzi, Kevin Schawinski, Steven P. Bamford,
  Edd Edmondson","Galaxy Zoo: dust lane early-type galaxies are tracers of recent,
  gas-rich minor mergers","11 pages, 18 figures, 4 tables, MNRAS (Accepted for publication- 2012
  January 19)","2012, MNRAS, 423, 59",10.1111/j.1365-2966.2012.20598.x,,astro-ph.CO,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  We present the second of two papers concerning the origin and evolution of
local early-type galaxies exhibiting dust features. We use optical and radio
data to examine the nature of active galactic nucleus (AGN) activity in these
objects, and compare these with a carefully constructed control sample. We find
that dust lane early-type galaxies are much more likely to host emission-line
AGN than the control sample galaxies. Moreover, there is a strong correlation
between radio and emission-line AGN activity in dust lane early-types, but not
the control sample. Dust lane early-type galaxies show the same distribution of
AGN properties in rich and poor environments, suggesting a similar triggering
mechanism. By contrast, this is not the case for early-types with no dust
features. These findings strongly suggest that dust lane early-type galaxies
are starburst systems formed in gas-rich mergers. Further evidence in support
of this scenario is provided by enhanced star formation and black hole
accretion rates in these objects. Dust lane early-types therefore represent an
evolutionary stage between starbursting and quiescent galaxies. In these
objects, the AGN has already been triggered but has not as yet completely
destroyed the gas reservoir required for star formation.
","[{'version': 'v1', 'created': 'Tue, 26 Jul 2011 20:00:04 GMT'}, {'version': 'v2', 'created': 'Mon, 27 Feb 2012 21:00:03 GMT'}, {'version': 'v3', 'created': 'Thu, 23 Aug 2012 21:39:01 GMT'}]",2012-08-27,"[['Shabala', 'Stanislav S.', ''], ['Ting', 'Yuan-Sen', ''], ['Kaviraj', 'Sugata', ''], ['Lintott', 'Chris', ''], ['Crockett', 'R. Mark', ''], ['Silk', 'Joseph', ''], ['Sarzi', 'Marc', ''], ['Schawinski', 'Kevin', ''], ['Bamford', 'Steven P.', ''], ['Edmondson', 'Edd', '']]"
1112.3207,Yuan Sen Ting Mr,"Yuan-Sen Ting, Kenneth C. Freeman, Chiaki Kobayashi, Gayandhi M. De
  Silva, Joss Bland-Hawthorn",Principal Component Analysis on Chemical Abundances Spaces,"28 pages, 25 figures, 3 tables, MNRAS (Accepted for publication- 2011
  December 14)","2012, MNRAS, 421, 1231",10.1111/j.1365-2966.2011.20387.x,,astro-ph.SR,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  In preparation for the HERMES chemical tagging survey of about a million
Galactic FGK stars, we estimate the number of independent dimensions of the
space defined by the stellar chemical element abundances [X/Fe]. [...] We
explore abundances in several environments, including solar neighbourhood
thin/thick disk stars, halo metal-poor stars, globular clusters, open clusters,
the Large Magellanic Cloud and the Fornax dwarf spheroidal galaxy. [...] We
find that, especially at low metallicity, the production of r-process elements
is likely to be associated with the production of alpha-elements. This may
support the core-collapse supernovae as the r-process site. We also verify the
over-abundances of light s-process elements at low metallicity, and find that
the relative contribution decreases at higher metallicity, which suggests that
this lighter elements primary process may be associated with massive stars.
[...] Our analysis reveals two types of core-collapse supernovae: one produces
mainly alpha-elements, the other produces both alpha-elements and Fe-peak
elements with a large enhancement of heavy Fe-peak elements which may be the
contribution from hypernovae. [...] The extra contribution from low mass AGB
stars at high metallicity compensates the dimension loss due to the
homogenization of the core-collapse supernovae ejecta. [...] the number of
independent dimensions of the [X/Fe]+[Fe/H] chemical space in the solar
neighbourhood for HERMES is about 8 to 9. Comparing fainter galaxies and the
solar neighbourhood, we find that the chemical space for fainter galaxies such
as Fornax and the Large Magellanic Cloud has a higher dimensionality. This is
consistent with the slower star formation history of fainter galaxies. [...]
","[{'version': 'v1', 'created': 'Wed, 14 Dec 2011 13:44:00 GMT'}]",2012-03-21,"[['Ting', 'Yuan-Sen', ''], ['Freeman', 'Kenneth C.', ''], ['Kobayashi', 'Chiaki', ''], ['De Silva', 'Gayandhi M.', ''], ['Bland-Hawthorn', 'Joss', '']]"
1207.7076,Yuan-Sen Ting Mr,"Yuan-Sen Ting, Gayandhi M. De Silva, Kenneth C. Freeman, Stacey-Jo
  Parker",High-resolution elemental abundance analysis of the open cluster IC 4756,"13 pages, 13 figures, 10 tables, MNRAS (Accepted for publication-
  2012 August 25)","2012, MNRAS, 427, 882",10.1111/j.1365-2966.2012.22028.x,,astro-ph.SR astro-ph.GA,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  We present detailed elemental abundances of 12 subgiants in the open cluster
IC 4756 including Na, Al, Mg, Si, Ca, Ti, Cr, Ni, Fe, Zn and Ba. We measure the
cluster to have [Fe/H] = -0.01 +/- 0.10. Most of the measured star-to-star
[X/H] abundance variation is below sigma < 0.03, as expected from a coeval
stellar population preserving natal abundance patterns, supporting the use of
elemental abundances as a probe to reconstruct dispersed clusters. We find
discrepancies between Cr I and Cr II abundances as well as between Ti I and Ti
II abundances, where the ionized abundances are larger by about 0.2 dex. This
follows other such studies which demonstrate the effects of overionization in
cool stars. IC 4756 are supersolar in Mg, Si, Na and Al, but are solar in the
other elements. The fact that IC 4756 is supersolar in some alpha-elements (Mg,
Si) but solar in the others (Ca, Ti) suggests that the production of
alpha-elements is not simply one dimensional and could be exploited for
chemical tagging.
","[{'version': 'v1', 'created': 'Mon, 30 Jul 2012 20:00:04 GMT'}, {'version': 'v2', 'created': 'Sat, 25 Aug 2012 07:46:08 GMT'}, {'version': 'v3', 'created': 'Fri, 12 Oct 2012 14:40:14 GMT'}]",2015-03-20,"[['Ting', 'Yuan-Sen', ''], ['De Silva', 'Gayandhi M.', ''], ['Freeman', 'Kenneth C.', ''], ['Parker', 'Stacey-Jo', '']]"
1212.0006,Yuan-Sen Ting Mr,"Yuan-Sen Ting (Harvard University), Hans-Walter Rix, Jo Bovy, Glenn
  van de Ven","Constraining the Galactic potential via action-based distribution
  functions for mono-abundance stellar populations","Comments: 10 pages, 6 figures, 1 tables, MNRAS (Accepted for
  publication- 2013 June 11)","2013, MNRAS, 434, 652",10.1093/mnras/stt1053,,astro-ph.GA,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  We present a rigorous and practical way of constraining the Galactic
potential based on the phase-space information for many individual stars. Such
an approach is needed to dynamically model the data from ongoing spectroscopic
surveys of the Galaxy and in the future Gaia. This approach describes the orbit
distribution of stars by a family of parametrized distribution function (DF)
proposed by McMillan and Binney, which are based on actions. We find that these
parametrized DFs are flexible enough to capture well the observed phase-space
distributions of individual abundance-selected Galactic subpopulations of stars
(`mono-abundance populations') for a disc-like gravitational potential, which
enables independent dynamical constraints from each of the Galactic
mono-abundance populations. We lay out a statistically rigorous way to
constrain the Galactic potential parameters by constructing the joint
likelihood of potential and DF parameters, and subsequently marginalizing over
the DF parameters. This approach explicitly incorporates the spatial selection
function inherent to all Galactic surveys, and can account for the
uncertainties of the individual position--velocity observations. On that basis,
we study the precision of the parameters of the Galactic potential that can be
reached with various sample sizes and realistic spatial selection functions. By
creating mock samples from the DF, we show that, even under a restrictive and
realistic spatial selection function, given a two-parameter gravitational
potential, one can recover the true potential parameters to a few per cent with
sample sizes of a few thousands. The assumptions of axisymmetry, of DFs that
are smooth in the actions and of no time variation remain important limitations
in our current study.
","[{'version': 'v1', 'created': 'Fri, 30 Nov 2012 21:00:00 GMT'}, {'version': 'v2', 'created': 'Tue, 14 May 2013 23:56:24 GMT'}, {'version': 'v3', 'created': 'Sun, 23 Jun 2013 07:57:45 GMT'}]",2015-07-10,"[['Ting', 'Yuan-Sen', '', 'Harvard University'], ['Rix', 'Hans-Walter', ''], ['Bovy', 'Jo', ''], ['van de Ven', 'Glenn', '']]"
1310.6089,Yuan-Sen Ting Mr,Yuan-Sen Ting,"Experimental constraints on anti-gravity and antimatter, in the context
  of dark energy",3 pages,,,,astro-ph.CO,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  In a paper by Villata (2011), the possibility of a repulsive gravitational
interaction between antimatter and ordinary matter was discussed. The author
argued that this anti-gravity can be regarded as a prediction of general
relativity, under the assumption of CPT symmetry. Stringent experimental
constraints have been established against such a suggestion. The measurement of
free-fall accelerations of various nuclei by the Eot-Wash group and searches
for equivalence principle violation through the gravitational splitting in kaon
physics consistently establish null results on any difference between the
gravitational behaviour of antimatter and ordinary matter. The original
arguments against antigravity were questioned by Nieto & Goldman (1991). In the
light of new experiments as well as theoretical developments in the past 20
years, some of Nieto & Goldman's concerns have been addressed. While a precise
measurement of the free-fall acceleration of antihydrogen will eventually lay
this issue to rest, the purpose of this short letter is to argue that the
substitution of dark energy with anti-gravity by antimatter, as suggested by
Villata, is highly unlikely.
","[{'version': 'v1', 'created': 'Wed, 23 Oct 2013 01:50:22 GMT'}, {'version': 'v2', 'created': 'Wed, 15 Apr 2015 21:52:55 GMT'}]",2015-04-17,"[['Ting', 'Yuan-Sen', '']]"
1503.05162,Timothy Davis,"Timothy A. Davis, Kate Rowlands, James R. Allison, Stanislav S.
  Shabala, Yuan-Sen Ting, Claudia del P. Lagos, Sugata Kaviraj, Nathan Bourne,
  Loretta Dunne, Steve Eales, Rob J. Ivison, Steve Maddox, Daniel J. B. Smith,
  Matthew. W. L. Smith, and Pasquale Temi","Molecular and atomic gas in dust lane early-type galaxies - I: Low
  star-formation efficiencies in minor merger remnants","12 pages, 5 figures, accepted to MNRAS","Monthly Notices of the Royal Astronomical Society, 2015, Volume
  449, Issue 4, p.3503-3516",10.1093/mnras/stv597,,astro-ph.GA,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  In this work we present IRAM-30m telescope observations of a sample of
bulge-dominated galaxies with large dust lanes, which have had a recent minor
merger. We find these galaxies are very gas rich, with H2 masses between 4x10^8
and 2x10^10 Msun. We use these molecular gas masses, combined with atomic gas
masses from an accompanying paper, to calculate gas-to-dust and gas-to-stellar
mass ratios. The gas-to-dust ratios of our sample objects vary widely (between
~50 and 750), suggesting many objects have low gas-phase metallicities, and
thus that the gas has been accreted through a recent merger with a lower mass
companion. We calculate the implied minor companion masses and gas fractions,
finding a median predicted stellar mass ratio of ~40:1. The minor companion
likely had masses between ~10^7 - 10^10 Msun. The implied merger mass ratios
are consistent with the expectation for low redshift gas-rich mergers from
simulations. We then go on to present evidence that (no matter which
star-formation rate indicator is used) our sample objects have very low
star-formation efficiencies (star-formation rate per unit gas mass), lower even
than the early-type galaxies from ATLAS3D which already show a suppression.
This suggests that minor mergers can actually suppress star-formation activity.
We discuss mechanisms that could cause such a suppression, include dynamical
effects induced by the minor merger.
","[{'version': 'v1', 'created': 'Tue, 17 Mar 2015 18:54:04 GMT'}, {'version': 'v2', 'created': 'Tue, 18 Aug 2015 09:20:04 GMT'}]",2015-08-19,"[['Davis', 'Timothy A.', ''], ['Rowlands', 'Kate', ''], ['Allison', 'James R.', ''], ['Shabala', 'Stanislav S.', ''], ['Ting', 'Yuan-Sen', ''], ['Lagos', 'Claudia del P.', ''], ['Kaviraj', 'Sugata', ''], ['Bourne', 'Nathan', ''], ['Dunne', 'Loretta', ''], ['Eales', 'Steve', ''], ['Ivison', 'Rob J.', ''], ['Maddox', 'Steve', ''], ['Smith', 'Daniel J. B.', ''], ['Smith', 'Matthew. W. L.', ''], ['Temi', 'Pasquale', '']]"
1504.03327,Yuan-Sen Ting Mr,"Yuan-Sen Ting, Charlie Conroy, Alyssa Goodman",Prospects for chemically tagging stars in the Galaxy,"18 pages, 12 figures, ApJ (Accepted for publication- 2015 May 28)","2015, ApJ, 807, 104",10.1088/0004-637X/807/1/104,,astro-ph.GA,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  It is now well-established that the elemental abundance patterns of stars
holds key clues not only to their formation but also to the assembly histories
of galaxies. One of the most exciting possibilities is the use of stellar
abundance patterns as ""chemical tags"" to identify stars that were born in the
same molecular cloud. In this paper we assess the prospects of chemical tagging
as a function of several key underlying parameters. We show that in the
fiducial case of $10^4$ distinct cells in chemical space and $10^5-10^6$ stars
in the survey, one can expect to detect $\sim 10^2-10^3$ groups that are $\ge
5\sigma$ overdensities in the chemical space. However, we find that even very
large overdensities in chemical space do not guarantee that the overdensity is
due to a single set of stars from a common birth cloud. In fact, for our
fiducial model parameters, the typical $5\sigma$ overdensity is comprised of
stars from a wide range of clusters with the most dominant cluster contributing
only 25% of the stars. The most important factors limiting the identification
of disrupted clusters via chemical tagging are the number of chemical cells in
the chemical space and the survey sampling rate of the underlying stellar
population. Both of these factors can be improved through strategic
observational plans. While recovering individual clusters through chemical
tagging may prove challenging, we show, in agreement with previous work, that
different CMFs imprint different degrees of clumpiness in chemical space. These
differences provide the opportunity to statistically reconstruct the slope and
high mass cutoff of CMF and its evolution through cosmic time.
","[{'version': 'v1', 'created': 'Mon, 13 Apr 2015 20:00:47 GMT'}, {'version': 'v2', 'created': 'Wed, 15 Apr 2015 21:51:39 GMT'}, {'version': 'v3', 'created': 'Thu, 28 May 2015 20:18:46 GMT'}]",2015-07-08,"[['Ting', 'Yuan-Sen', ''], ['Conroy', 'Charlie', ''], ['Goodman', 'Alyssa', '']]"
1507.07563,Yuan-Sen Ting Mr,"Yuan-Sen Ting, Charlie Conroy, Hans-Walter Rix","APOGEE chemical tagging constraint on the maximum star cluster mass in
  the $\alpha$-enhanced Galactic disk","12 pages, 7 figures, ApJ (Accepted for publication- 2015 November 17)","2015, ApJ, 816, 10",10.3847/0004-637X/816/1/10,,astro-ph.GA,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  Stars born from the same molecular cloud should be nearly homogeneous in
their element abundances. The concept of chemical tagging is to identify
members of disrupted clusters by their clustering in element abundance space.
Chemical tagging requires large samples of stars with precise abundances for
many individual elements. With uncertainties of $\sigma_{[X/{\rm Fe}]}$ and
$\sigma_{\rm [Fe/H]} \simeq 0.05$ for 10 elements measured for $>10^4$ stars,
the APOGEE DR12 spectra may be the first well-suited data set to put this idea
into practice. We find that even APOGEE data offer only $\sim 500$ independent
volume elements in the 10-dimensional abundance space, when we focus on the
$\alpha$-enhanced Galactic disk. We develop and apply a new algorithm to search
for chemically homogeneous sets of stars against a dominant background. By
injecting star clusters into the APOGEE data set we show that chemically
homogeneous clusters with masses $\gtrsim 3 \times 10^7 \, {\rm M}_\odot$ would
be easily detectable and yet no such signal is seen in the data. By
generalizing this approach, we put a first abundance-based constraint on the
cluster mass function for the old disk stars in the Milky Way.
","[{'version': 'v1', 'created': 'Mon, 27 Jul 2015 20:00:55 GMT'}, {'version': 'v2', 'created': 'Tue, 17 Nov 2015 20:42:20 GMT'}]",2016-01-11,"[['Ting', 'Yuan-Sen', ''], ['Conroy', 'Charlie', ''], ['Rix', 'Hans-Walter', '']]"
1602.06947,Yuan-Sen Ting Mr,"Yuan-Sen Ting, Charlie Conroy, Hans-Walter Rix",Accelerated Fitting of Stellar Spectra,"17 pages, 10 figures, ApJ (Accepted for publication- 2016 May 16)","2016, ApJ, 826, 83",10.3847/0004-637X/826/1/83,,astro-ph.SR astro-ph.GA,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  Stellar spectra are often modeled and fit by interpolating within a
rectilinear grid of synthetic spectra to derive the stars' labels: stellar
parameters and elemental abundances. However, the number of synthetic spectra
needed for a rectilinear grid grows exponentially with the label space
dimensions, precluding the simultaneous and self-consistent fitting of more
than a few elemental abundances. Shortcuts such as fitting subsets of labels
separately can introduce unknown systematics and do not produce correct error
covariances in the derived labels. In this paper we present a new approach --
CHAT (Convex Hull Adaptive Tessellation) -- which includes several new ideas
for inexpensively generating a sufficient stellar synthetic library, using
linear algebra and the concept of an adaptive, data-driven grid. A convex hull
approximates the region where the data lie in the label space. A variety of
tests with mock datasets demonstrate that CHAT can reduce the number of
required synthetic model calculations by three orders of magnitude in an 8D
label space. The reduction will be even larger for higher-dimensional label
spaces. In CHAT the computational effort increases only linearly with the
number of labels that are fit simultaneously. Around each of these grid points
in label space an approximate synthetic spectrum can be generated through
linear expansion using a set of ""gradient spectra"" that represent flux
derivatives at every wavelength point with respect to all labels. These
techniques provide new opportunities to fit the full stellar spectra from large
surveys with 15-30 labels simultaneously.
","[{'version': 'v1', 'created': 'Mon, 22 Feb 2016 21:00:00 GMT'}, {'version': 'v2', 'created': 'Mon, 16 May 2016 20:32:06 GMT'}]",2016-07-26,"[['Ting', 'Yuan-Sen', ''], ['Conroy', 'Charlie', ''], ['Rix', 'Hans-Walter', '']]"
