Problem,Solution
How can the formation of exponential star-forming disk and metal enrichment in the modified accretion disk (MAD) framework be explained and characterized?,"By treating the galactic gas disk as a simple gas-regulator system, the star formation rate can be determined by the gas content, which is regulated by inflow, outflow, and star formation. This model allows for the derivation of the analytic solution of the radial profile of the gas-phase metallicity, which characterizes the observed features well. The negative gradient of gas-phase metallicity is explained by the radial inflow of cold gas, enriched by in-situ star formation. Magnetic stresses from magneto-rotational instability are suggested as the source of the viscosity that maintains the exponential star-forming disk."
"How can we derive detailed star formation histories (SFH) for different parts of the Milky Way, including the difficult problem of deriving stellar ages?","By using Gaia colour-magnitude diagrams and techniques that have been successful for external galaxies in the Local Group, we can create detailed SFHs. These provide a detailed view of the evolution of the stellar mass and metal content in the Milky Way, from the earliest times of star formation. This approach also allows us to get largely unbiased and homogeneous stellar age and metallicity distributions for different Galactic components."
"The low mass end of the Milky Way's assembly history, particularly the absorption of ultra faint dwarfs (UFDs), is poorly understood and we lack ways to identify stars that accreted from UFDs.","Using the Caterpillar simulation suite, chemical tagging with r-process elements and clustering in kinematic phase space can help identify stars from these dwarf galaxies. Further work is being done with highly-resolved hydrodynamic simulations of the earliest dwarf galaxies to better understand the low-mass end of the Milky Way assembly history."
How do satellite galaxy planes form around massive galaxies in the fuzzy dark matter model compared to the cold dark matter model?,"The study shows that in the fuzzy dark matter model, satellite galaxies tend to form more flattened and corotating satellite systems due to the dissipation by the gravitational cooling effect of the fuzzy dark matter."
"How can the halo spin and halo concentration of a low surface brightness (LSB), gas rich dwarf barred galaxy be estimated, given that the angular momentum distribution of the dark matter halos is still a subject of debate?","A method is proposed that involves forward modelling disk properties derived from observations, using semi analytical techniques, N-body/SPH and cosmological simulations. The best match with observations is a pseudo-isothermal halo model with specific parameters. The model of halo spin distribution matches with that of similar mass analogues of UGC 5288 galaxies in a specific simulation."
How can the chemical evolution of the Galaxy's thick and thin disks be accurately modeled and understood?,"Two different approaches are proposed: a two-infall approach where the thick disk forms fast and before the thin disk and by means of a fast gas accretion episode, and a parallel approach where the two disks form in parallel but at different rates. The models are compared with observed data and applied to study the evolution of various chemical elements."
"How can the formation of boxy/peanut (B/P) bulges, potentially through the buckling instability of the bar, be quantified and understood in real galaxies?","A diagnostic test is developed and applied to a small sample of galaxies from the Spitzer Survey of Stellar Structure in Galaxies. The test quantifies the residual mid-plane asymmetry, a potential indicator of past buckling events. However, no clear evidence of such asymmetry associated with past buckling events was found, suggesting that the formation of B/P bulges through strong buckling may be a rare event. The diagnostic can also be applied to the Milky Way to further explore this formation scenario."
What is the chronology and driving mechanisms of the build-up of late-type galaxies (LTGs)?,"Analysis of the star formation histories (SFHs) of bulges and disks for 135 LTGs from the CALIFA survey and comparison with predictions from evolutionary synthesis models suggest a unified picture for the formation and evolution of LTGs, where pseudo-bulges (PBs) and classical bulges (CBs) are extremes of a continuous sequence. Bulges are formed with their parent disks by gradual inside-out growth, which is controlled by the depth of the galactic potential."
"How do the forces exerted by galactic bars in disk galaxies rearrange stars throughout the disk, and what are the observable effects of this rearrangement?","By analyzing an N-body simulation, we can examine the changes in the radial locations of stars after a bar has formed. This analysis reveals angle-dependent and radius-dependent trends in star movement, which can be used to understand the effects of galactic bars. Future analyses could use data from upcoming surveys performed with massively multiplexed spectrographs to further investigate these trends."
How do the feedback processes of massive stars impact star formation in local extremely metal-poor galaxies (EMPG)?,"Using 3D radiation hydrodynamics simulations, the study considers both radiation and supernova feedback. It finds that photoionization feedback suppresses star formation before supernova feedback begins, especially in low-metallicity cases. The simulation results align well with recent observations of local EMPGs."
How can we map the chemical distribution and trace the evolution of chemical abundances over time in the Milky Way and beyond?,"Use Galactic Chemical Evolution (GCE) models, which require less computational power than cosmological chemodynamical simulations, to investigate the mechanisms and conditions of galaxy evolution and reproduce the chemical properties of galaxies."
"Why are some dwarf galaxies observed to be deficient in dark matter, contrary to the expectation that they should be more dominant in dark matter due to their vulnerability to disturbances?","Examine dwarf galaxies in the SPARC and LITTLE THINGS catalogs using the EAGLE simulation galaxies to identify any that are dark matter deficient and explore possible causes. Three galaxies, IC 1613, DDO 50, and UGC 7125, are identified as outliers, with potential causes including distance uncertainties and gas disturbances."
There is a lack of understanding of how a jet interacts with the gaseous/stellar component of a galaxy and how to effectively discover and study faint-fuzzy relic evidence from survey data.,"A modified citizen science approach was used, creating a research collaboratory of trained citizen scientists. These citizen scientists were trained to discover exotic radio galaxies from their homes, using free internet services. Preliminary discoveries were followed up with the GMRT telescope. This approach led to the discovery of new Speca-like rare spiral-host radio galaxies, new cases of rare jet-galaxy interactions, and never-seen-before relic radio bubbles and filaments in elliptical-elliptical mergers."
