name,abstract,title
Akshara Viswanathan,"Constraining the origins of the most primitive and metal-poor stars in our Milky Way allows us to time travel back to the earliest epoch of star formation and reconstruct the hierarchical assembly of our Galaxy. The highly metallicity sensitive Ca H&K doublet lines around 395 nm can be used to isolate these important but rare stars. The Pristine survey was designed using a narrow-band filter around this wavelength to estimate stellar metallicity for millions of FGK stars and efficiently find the lowest metallicity populations. Thanks to the low-resolution BP-RP spectra provided by Gaia DR3, it is now possible to mimic a Pristine narrow-band filter in these data and hunt for these rare and old stars. This gives us an all-sky distribution of the metal-poor Milky Way. Here I present the first spectroscopic follow-up efforts of this new catalogue of extremely metal-poor stars in the Milky Way halo. Using this new dataset and technique, we find that 77% of the stars with photometric (Pristine model integrated over the Gaia spectra) [Fe/H] < −2.8 have a spectroscopic [Fe/H] < −2.5. These statistics are a huge improvement over the existing methods that search for extremely metal-poor stars. I will put these stars into the context of the halo and its substructures, by using a very pure sample of Gaia DR3 halo main sequence stars (selected using the reduced proper motion property) combined with metallicity from the deeper Pristine photometry. We can get reliable distances far and beyond what would be possible using reliable Gaia parallax for these stars. This allows us to study the anomalies in the metallicity structure across different distances, contributions of the kicked-up thick disk stars and map out the metal-poor Milky Way halo across various lines of sight. By expanding the number of spectroscopically studied metal-poor stars efficiently and uniformly and studying the metal-poor tail of the Galaxy, we get a better view of some of the most intricate parts of our Galaxy and complement the analysis of galactic assembly and star formation histories in the high-redshift universe.",Observational diagnostics of the old Milky Way using the most metal-poor stars
Anke Arentsen (1),"The oldest, most metal-poor stars in the Milky Way are unique probes of early star formation and the assembly of the Milky Way. The Galactic bulge region has typically been avoided in the search for metal-poor stars, because of the extremely high density of mostly metal-rich stars and the high dust extinction. The bulk of the Galactic bulge is thought to originate from the (early) Galactic disk. However, the oldest pressure-supported component in our Galaxy is also expected to be present in its innermost region. The most metal-poor stars in the bulge region can provide unique insights into the ancient Milky Way. I will present results from the Pristine Inner Galaxy Survey (PIGS), which used metallicity-sensitive narrow-band CaHK photometry to identify metal-poor candidates in the bulge. PIGS is the largest spectroscopic survey of inner Galaxy metal-poor stars (~10 000 with [Fe/H] < -1.0) and very metal-poor stars (~2000 with [Fe/H] < -2.0) to date. Using the bulk PIGS radial velocities, we previously showed that the amount of inner Galaxy rotation decreases with decreasing metallicity. We have recently derived individual distances and orbits for the entire PIGS sample, which we use to study how much the metal-poor stars contribute to the disky bulge vs. to a pressure-supported component, and how this changes with metallicity. I will also highlight the behaviour of carbon-enhanced metal-poor (CEMP) stars in PIGS. It is exciting to see the growing amount of data on metal-poor stars in the inner regions of the Milky Way, thanks to various surveys, allowing us to set important constraints on the formation of the ancient inner Galaxy.",Dynamical properties of ancient stars in the inner Milky Way with PIGS 
Anke Arentsen (2),"In early surveys searching for very metal-poor stars ([Fe/H] < -2.0), it was recognised that many of the most metal-poor stars had exceptionally strong carbon absorptions. These carbon-enhanced metal-poor (CEMP) stars were found to consist of two main classes: the CEMP-no stars are thought to have been born carbon-rich, reflecting the composition of the interstellar medium enriched by the first generations of stars, whereas the CEMP-s stars, which are also enhanced in s-process elements and are usually found to be in binary systems, are thought to be the result of mass-transfer from a former AGB companion. CEMP stars are a unique resource for Galactic archaeology because they probe the properties of the First Stars, early chemical evolution and binary interactions at very low metallicity. Spectroscopic surveys in recent years have uncovered large numbers of CEMP stars, allowing us to begin to study them as a population. There are some hints that the properties of CEMP populations vary between different Galactic environments (inner/outer halo, bulge, dwarf galaxies), which could point to differences in the early formation and chemical evolution of these environments. I will discuss what we know about the frequency of CEMP stars among very metal-poor stars, and what challenges there are in determining it and in comparing it for different samples. I will present recent work on the comparison of various low-resolution spectroscopic samples of very metal-poor stars in the giant regime, showing that there is still more work necessary to pin down to properties of the populations of CEMP stars throughout the Milky Way. ",On the frequency of carbon-enhanced very metal-poor stars
Federico Sestito,"The most metal-poor stars (MMPs) are rare objects located mainly in the Milky Way halo. It is assumed that they formed in the relative pristine Galaxy shortly after the Big Bang, and they belong to the earliest generations of stars. The search for the MMPs is therefore important to answer questions on the masses of the first stars, the universality of the IMF, and the assembly of the Galaxy both in terms of chemistry and dynamics. Gaia started a revolution providing exquisite astrometric data, which are crucial for Galactic archaeology studies. In synergy with high-resolution spectroscopic data, we can now dissect the Galaxy in a multi-dimensional space.  I will show a chemo-dynamical investigation of MMPs focusing on the Galactic bulge. Stars are selected from the Pristine Inner Galaxy survey, which uses the Ca HK filter at CFHT/MegaCam to select the MMP candidate stars. The chemistry from high-resolution Gemini/GRACE observations suggests these are among the oldest stars and brought in during the very early Galactic assembly. The abundances of three stars are compatible with second generation globular clusters stars. This indicates the presence of ancient and disrupted globular clusters in the inner Galaxy. One star points to the feasibility of forming extremely metal-poor ([Fe/H]<-3.0) structures in the early Universe, which are now dissolved. Another star with confined to the disk orbit seems to be accreted very early from a fossil dwarf galaxy, which was polluted by only one low-mass supernovae. ",Probing the early assembly of the Milky Way with the ancient and most metal-poor stars in the Galactic bulge
Henrique Reggiani,"The progenitor systems and explosion mechanisms responsible for the thermonuclear events classified as Type Ia supernovae are uncertain and difficult to constrain using traditional observations of Type Ia properties (e.g., light curves).  Even though we do not fully understand their progenitors, we rely on our knowledge of these events to model galactic chemical evolution, as thermonuclear explosions are the main site in which iron-peak elements are synthesized.  Understanding the underlying properties of thermonuclear explosions would allow us to, among others, better model galactic chemical evolution and understand the physics behind Type Ia supernovae. To better constraint Type Ia progenitors, the prolific producers of iron, we used theoretical nucleosynthetic yields to identify a set of elemental abundance ratios infrequently observed in metal-poor stars but shared across a range of Type Ia progenitor systems and explosion mechanisms.  We label stars with this abundance signature ``iron-rich metal-poor'' stars (IRMP).  IRMP stars formed in environments dominated by Type Ia nucleosynthesis and their chemical pattern can be used to constrain both the progenitor systems and explosion mechanisms responsible for Type Ia supernovae.  We identify three IRMP stars in the literature and homogeneously infer their elemental abundances. We find that they can be best explained by deflagration-to-detonation transitions in sub- or near-Chandrasekhar mass progenitors.  I will also show how the occurrence rates of IRMP stars in our Galaxy and beyond, to provide an extra constraint on their nature.",Iron-Rich Metal-Poor stars as Probes to the Properties of Thermonuclear Explosions
Madeline Lucey (1),"The oldest stars in our Galaxy contain crucial information about the Early Universe and the formation of the Milky Way. Cosmological simulations have predicted that the highest density of ancient stars is in the inner Galaxy. In this talk, I present new research into the chemo-dynamical properties of (metal-poor) inner Galaxy stars and discuss what we've learned about the early Milky Way.  It has also been suggested that carbon-enhanced metal-poor (CEMP) stars may be true Population II stars in that they were solely enriched by material from the first generation of stars. In this talk I'll also discuss what we've learned from the Galactic distribution and orbital properties of these stars and how that fits into our ideas of the early Universe and the Milky Way's formation. ",Ancient Stars in the Inner Milky Way and Beyond
Madeline Lucey (2),"The chemo-dynamics of the stellar populations in the Galactic Bulge inform and constrain the Milky Way's formation and evolution. The metal-poor population is particularly important in light of cosmological simulations, which predict that some of the oldest stars in the Galaxy now reside in its center. The metal-poor bulge appears to consist of multiple stellar populations that require chemo-dynamical analyses to disentangle. In this presentation, I will describe our detailed chemo-dynamical study of the metal-poor stars in the inner Galaxy, named The COMBS Survey which uses VLT/FLAMES spectra of ~350 metal-poor stars. I will discuss the results and the implications for early Milky Way formation and chemical evolution. In addition, I will preview results from an ongoing survey of carbon-enhanced metal-poor stars, which are thought to be solely enriched by the first generation of stars.",Using metal-poor stars in the inner Galaxy to uncover the ancient Milky Way
Norhasliza Yusof,"Massive and very massive stars have tremendous impact in the cosmic evolution. The nucleosynthesis both during their advanced stages and their final explosion likely contribute greatly to the overall enrichment of the Universe. Their extreme conditions lead also to very important radiative and mechanical feedback effects, from local to cosmic scale.   In order to determine their fate, it is important to determine what is the final masses, for example for low metallicities massive or very massive stars, it can retain huge core masses and this could bring the possibility as the candidate of PISNe progenitors.   Pair-instability supernovae (PISNe) are very luminous explosions of massive, low-metallicity stars. They can potentially be observed out to high redshifts due to their high explosion energies, thus providing a probe of the Universe prior to reionization. ",Massive and (Very Massive) Stars as the Cosmic Engine
Carrie Filion,"Many disk galaxies host galactic bars, which exert time-dependent, non-axisymmetric forces that could play a key role in re-arranging stars throughout the disk. The resultant torques are expected to create an azimuth angle-dependent signal in (e.g.) the median distance that stars have traveled to enter a given radial annulus. We analyze an N-body simulation to examine the changes in the radial locations of stars (‘radial mixing') that occur in a disk galaxy after a bar has formed. We find that angle-dependent trends are present at all radii we consider, and radius-dependent trends roughly divide the disk into three radial ‘zones'. These ‘zones’ are characterized by whether the angle-averaged mean distance that stars have traveled to enter a given radial annulus is positive, negative, or approximately zero. The angle- and radius-dependent trends that we present here should be generic results for galaxies that host evolving bars. We discuss recent observational evidence for angle-dependent metallicity variations in the Milky Way in the context of this analysis, and we investigate the extent to which similar observations could be used to provide information about the radial re-arrangement that occurred in the disk. Finally, we suggest avenues for future analyses that will be possible with the data from upcoming surveys performed with massively multiplexed spectrographs, such as the Subaru Prime Focus Spectrograph.",Bar-induced Angle and Radius-Dependent Trends in Disk Galaxies
Dante Minniti,"The ESO Public Survey ”VISTA Variables in the” Via Lactea (VVV) and its extension called ”VVV eXtended Survey” (VVVX) have been mapping the Milky Way bulge and the Southern mid-plane in the near-IR, with observations starting in year 2010 and ending in year 2022. We monitored >2x109 point sources in total, within an area of about 1700 sq deg. This area includes about 50 known globular clusters, and >1000 known open clusters, with many more clusters to be found. The final products of our survey are deep JHKs-band images, and catalogues of variable point sources, and of proper motions. I will summarize some results and final maps from the complete VVVX observations. Only <1% of the MW stars have been measured to date. One particular pervasive problem for Galactic (and some extragalactic) studies is how far can we see at different wavelengths in the presence of extinction. We have used different distance indicators to trace the extinction horizon along the Galactic plane. I will present the results of our study, critically discussing the advantages and disadvantages of the various distance indicators (RC giants, RR Lyrae, Cepheids, LPVs/Miras, star clusters), also using complementary information from Gaia DR3. These results will be contrasted with the expected observations from major ground-based facilities like the Vera Rubin Telescope, and space missions, like the James Webb Space Telescope and the Nancy Roman Space Telescope.",The Galactic Extinction Horizon with Present and Future Surveys
